location-long,location-lat,date,time
-78.7481792,42.7572896,10/23/2021,10:57:53
-78.7561472,42.7619616,10/23/2021,13:57:49
-78.7519936,42.7602944,10/23/2021,16:58:09
-78.7526144,42.760384,10/23/2021,19:58:03
-78.7527104,42.7604192,10/24/2021,1:58:55
-78.7526144,42.7604192,10/24/2021,4:59:01
-78.7524032,42.7596992,10/24/2021,13:57:47
-78.7478592,42.7604864,10/24/2021,16:57:48
-78.747648,42.7611072,10/24/2021,19:58:19
-78.7475904,42.7612224,10/24/2021,22:58:03
-78.7474944,42.761104,10/25/2021,1:57:55
-78.7475456,42.7613056,10/25/2021,4:57:48
-78.7505216,42.7580288,10/25/2021,7:57:38
-78.742912,42.7603712,10/25/2021,10:58:00
-78.7509184,42.7537312,10/25/2021,13:58:05
-78.750848,42.7540512,10/25/2021,16:57:55
-78.7451456,42.7568288,10/27/2021,13:58:27
-78.7408704,42.757296,10/27/2021,16:58:39
-78.7450944,42.7562912,10/27/2021,19:58:32
-78.7446208,42.7565696,10/27/2021,22:58:31
-78.7446144,42.7564672,10/28/2021,1:57:49
-78.7443328,42.7564736,10/28/2021,4:59:19
-78.7409408,42.7581152,10/28/2021,7:58:01
-78.7404416,42.7576256,10/28/2021,10:58:49
-78.7410112,42.757856,10/28/2021,13:58:23
-78.7406336,42.7575904,10/28/2021,16:57:48
-78.7408832,42.7572224,10/29/2021,1:58:51
-78.7399168,42.7575872,10/29/2021,13:58:10
-78.7396864,42.7583584,10/30/2021,13:59:11
-78.714368,42.7397984,10/31/2021,16:57:42
-78.727744,42.7398304,11/1/2021,13:58:32
-78.7414528,42.7558912,11/1/2021,19:58:00
-78.7418112,42.7559392,11/1/2021,22:58:47
-78.7435584,42.756656,11/2/2021,13:58:32
-78.7308736,42.7562688,11/2/2021,16:58:51
-78.7443648,42.7578048,11/3/2021,13:58:31
-78.7430528,42.7564704,11/3/2021,16:58:31
-78.7425664,42.7567552,11/3/2021,19:58:47
-78.745088,42.7578816,11/4/2021,10:58:12
-78.7378688,42.754496,11/4/2021,13:58:20
-78.7265728,42.756336,11/4/2021,16:58:56
-78.7266368,42.7560896,11/5/2021,16:58:22
-78.7366464,42.7620384,11/5/2021,19:58:01
-78.7367232,42.762,11/5/2021,22:57:48
-78.7369216,42.76208,11/6/2021,1:58:13
-78.7368,42.7619296,11/6/2021,4:58:19
-78.7352832,42.7665376,11/6/2021,7:57:50
-78.7263488,42.7556032,11/6/2021,10:58:49
-78.728064,42.7565536,11/6/2021,13:58:01
-78.7242048,42.758704,11/6/2021,16:58:26
-78.7232064,42.7570816,11/6/2021,22:59:02
-78.723168,42.7573216,11/7/2021,1:58:00
-78.72304,42.7570464,11/7/2021,3:58:49
-78.7236032,42.7568576,11/7/2021,6:57:49
-78.72,42.757472,11/7/2021,9:58:01
-78.726912,42.756176,11/7/2021,12:57:55
-78.7251328,42.7572032,11/7/2021,15:58:01
-78.724672,42.7561792,11/7/2021,18:58:25
-78.724672,42.7565568,11/7/2021,21:58:10
-78.7243776,42.7560768,11/8/2021,0:59:01
-78.7246848,42.7563104,11/8/2021,3:59:31
-78.7246848,42.756352,11/8/2021,6:57:55
-78.7257216,42.7572448,11/8/2021,9:58:01
-78.7253056,42.7569856,11/8/2021,12:57:49
-78.7270592,42.7563392,11/8/2021,15:58:25
-78.7247104,42.7557216,11/8/2021,18:57:56
-78.7244416,42.756272,11/8/2021,21:58:31
-78.7248256,42.7565408,11/9/2021,0:59:01
-78.7244288,42.756736,11/9/2021,3:59:01
-78.7252608,42.7557792,11/9/2021,6:58:02
-78.7256832,42.7567168,11/9/2021,9:58:01
-78.7306112,42.7556352,11/9/2021,12:58:05
-78.7233664,42.7559552,11/9/2021,15:57:55
-78.7208768,42.7559584,11/9/2021,18:58:26
-78.7209216,42.756016,11/9/2021,21:58:31
-78.7207936,42.7559328,11/10/2021,0:57:51
-78.7208512,42.7559648,11/10/2021,3:58:31
-78.7207168,42.7563136,11/10/2021,6:57:59
-78.726944,42.756416,11/10/2021,9:58:56
-78.7236096,42.7564512,11/10/2021,12:58:01
-78.719328,42.7583968,11/10/2021,15:58:39
-78.717376,42.7560192,11/10/2021,18:58:01
-78.717376,42.7560704,11/11/2021,0:58:31
-78.7251648,42.7566048,11/11/2021,6:57:56
-78.7263872,42.75608,11/11/2021,9:58:48
-78.7267584,42.756144,11/11/2021,12:57:48
-78.7243648,42.7564896,11/11/2021,15:57:55
-78.7343872,42.7524032,11/11/2021,18:57:58
-78.7343616,42.7523296,11/11/2021,21:57:55
-78.7343168,42.7524544,11/12/2021,0:57:55
-78.7343744,42.7523648,11/12/2021,3:58:19
-78.7274176,42.7563584,11/12/2021,6:58:01
-78.7271936,42.7583232,11/12/2021,9:57:54
-78.7261504,42.7557952,11/12/2021,12:57:49
-78.7281344,42.755984,11/12/2021,15:58:01
-78.7207808,42.755952,11/12/2021,18:57:48
-78.720864,42.7560736,11/12/2021,21:58:00
-78.720736,42.7560288,11/13/2021,0:57:49
-78.7207616,42.7560928,11/13/2021,3:57:54
-78.7241664,42.7570368,11/13/2021,6:58:28
-78.723584,42.7598432,11/13/2021,9:57:54
-78.7260864,42.7556544,11/13/2021,12:58:01
-78.7253504,42.7555776,11/13/2021,15:58:25
